detail	date	price(in_dollar)	number_of_bed	rating_value	amount_of_answers	property_type	city	country	state
Bebalilodge, one bedroom house with private pool	Oct 30 - Nov 4	76.0	1 bed	4.97	153	Farm stay	Gianyar	Indonesia	
BOHO CABIN, Hin Kong Beachfront, West Coast.	Jul 7 - 12	132.0	1 king bed	4.98	44	Cabin	Tambon Ko Pha-ngan	Thailand	
(A)Charming Pool Access One Bedroom Apartment	Jun 3 - 8	65.0	2 beds	4.82	68	Apartment	Tambon Kamala	Thailand	
Wake up to the Sea of Bali: Beachfront luxury plus	Oct 10 - 16	194.0	8 beds	5.0	139	Villa	Seririt	Indonesia	
Enchanted River cabin w/private garden and kitchen	Aug 19 - 24	51.0	1 queen bed	4.85	127	Cabin	Lazi	Philippines	
Cozy City Condo at Horizons 101 [ W/ WIFI ].	Jun 5 - 10	26.0	2 beds	4.44	220	Condo	Cebu City	Philippines	
SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE	Jun 25 - 30	64.0	2 beds	4.8	159	Apartment	Tambon Patong	Thailand	
Cozy room 48.5 sq.m @The Astra near Night market	Jun 7 - 12	45.0	2 beds	4.89	190	Condo	Chiang Mai	Thailand	
2 Bedrooms Beachfront on Maikhao Beach B#7F	Jun 1 - 6	90.0	2 beds	4.6	65	Condo	Tambon Thep Krasatti	Thailand	
EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool	Jun 1 - 6	53.0	1 king bed	4.78	408	Apartment	Kuala Lumpur	Malaysia	
La Casita Hua Hin 2	Jun 22 - 27	32.0	1 sofa bed	4.75	170	Apartment	Tambon Hua Hin	Thailand	
The LOJI @ Patra Kuningan # 3	Jun 30 - Jul 5	24.0	2 beds	4.83	69	Room	Tebet	Indonesia	
Cozy Studio across Ayala Mall iT Park 1min walk	Jul 20 - 25	26.0	1 bed	4.78	235	Condo	Cebu City	Philippines	
B4: Sea Breeze Bungalow with Ensuite and AC	Jun 14 - 19	33.0	2 double beds	4.82	191	Bungalow	Ko Samui	Thailand	
Villa Arun, Sumberkima Hill	Aug 21 - 26	262.0	1 queen bed	4.88	57	Villa	Pemuteran	Indonesia	
DANNY’s HIGH VIEW STUDIO near District1 Ben Thanh!	Jun 3 - 8	44.0	1 queen bed	4.78	167	Apartment	Quận 4	Vietnam	
Premier Lux Studio Large Tv Free Netflix | City	Jun 1 - 8	62.0	2 king beds	4.9	166	Apartment	Kuala Lumpur	Malaysia	
BOHO CABIN, Hin Kong Beachfront, West Coast.	Jul 7 - 12	132.0	1 king bed	4.98	44	Cabin	Tambon Ko Pha-ngan	Thailand	
【R&F】Studio of Dual-Key Homely Getaway byⓗⓢ	Jun 4 - 9	44.0	2 queen beds	4.78	139	Condo	Johor Bahru	Malaysia	
Luxury Q Chidlom Condo, BTS ChitLom, Siam,	Jun 1 - 8	90.0	1 queen bed	4.79	61	Apartment	Bangkok	Thailand	
(A)Charming Pool Access One Bedroom Apartment	Jun 3 - 8	65.0	2 beds	4.82	68	Apartment	Tambon Kamala	Thailand	
Wake up to the Sea of Bali: Beachfront luxury plus	Oct 10 - 16	194.0	8 beds	5.0	139	Villa	Seririt	Indonesia	
#18 2022 Newest! Downtown Lux Fun Sea View Condo	Jun 1 - 6	63.0	1 queen bed	5.0	27	Apartment	Muang Pattaya	Thailand	
Enchanted River cabin w/private garden and kitchen	Aug 19 - 24	51.0	1 queen bed	4.85	127	Cabin	Lazi	Philippines	
Cozy City Condo at Horizons 101 [ W/ WIFI ].	Jun 5 - 10	26.0	2 beds	4.44	220	Condo	Cebu City	Philippines	
SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE	Jun 25 - 30	64.0	2 beds	4.8	159	Apartment	Tambon Patong	Thailand	
Cozy room 48.5 sq.m @The Astra near Night market	Jun 7 - 12	45.0	2 beds	4.89	190	Condo	Chiang Mai	Thailand	
B2733/Seaview/5mins to Jonker/Imperio/Studio/4pax	Jun 4 - 10	30.0	3 beds	4.71	230	Condo	Melaka	Malaysia	
Kanvas Soho / KLIA / FREE WIFI 500mbps	Jun 4 - 9	24.0	2 beds	4.8	410	Condo	Cyberjaya	Malaysia	
#Maritime*3*The Rhythm of the Sea @ 日出无敌全海景	Jun 30 - Jul 5	98.0	3 double beds	4.56	93	Loft	Jelutong	Malaysia	
Waterfront Traditional Thai Style Pool Villa (V7)	Jun 1 - 6	41.0	1 queen bed	4.71	82	Villa	Phuket	Thailand	
The LOJI @ Patra Kuningan # 3	Jun 30 - Jul 5	24.0	2 double beds	4.83	69	Room	Tebet	Indonesia	
Villa Arun, Sumberkima Hill	Aug 21 - 26	262.0	1 queen bed	4.88	57	Villa	Pemuteran	Indonesia	
DANNY’s HIGH VIEW STUDIO near District1 Ben Thanh!	Jun 3 - 8	44.0	1 queen bed	4.78	167	Apartment	Quận 4	Vietnam	
Comfy-Cozy-Cheap @ NAIA 3 near RW w/ NETFLIX	Jul 25 - 30	33.0	3 beds	4.86	692	Apartment	Pasay	Philippines	
[50mbps+NETFLIX] Your home in the heart of Manila	Jun 1 - 6	28.0	1 double bed	4.73	159	Condo	Manila	Philippines	
Comfy Room with Bathroom near MRT Phra Ram 9	Aug 14 - 19	30.0	1 king bed	4.99	72	Room	Khet Din Daeng	Thailand	
Endless Patong Ocean View from a Hilltop Condominium, Phuket	Jun 1 - 8	56.0	4 beds	4.95	252	Apartment	Patong	Thailand	
Spectacular Ocean View Villa in Uluwatu, Bali	Jun 14 - 19	673.0	2 beds	4.94	143	Villa	Uluwatu	Indonesia	
Exclusive Villa, for Couples Looking To Relax	Sep 4 - 9	149.0	2 king beds	4.85	62	Room	Kecamatan Ubud	Indonesia	
1 BR Phuket Modern Luxury Living	Jun 6 - 11	44.0	1 king bed	4.68	202	Apartment	Tambon Patong	Thailand	
*SETIA ALAM* Big Luxury Comfort Homestay #Trefoil	Jun 7 - 12	30.0	1 king bed	4.87	171	Apartment	Shah Alam	Malaysia	
Luxury Villa in Ubud	Jun 10 - 15	65.0	3 beds	4.91	54	Room	Ubud	Indonesia	
"S101 Beachfront Private Villa,
A Resort by the Sea"	Jun 4 - 9	49.0	2 queen beds	4.75	80	Resort	Langkawi	Malaysia	
Admire Deluxe Marble Walls at a Highrise Resort Home	Jun 2 - 7	85.0	2 beds	4.85	135	Apartment	Kuala Lumpur	Malaysia	
B1706/5 mins drive to Jonker/Imperio/Studio/4pax	Jun 1 - 7	29.0	1 bed	4.79	195	Condo	Melaka	Malaysia	
Odesa Villa1 Ubud close to center	Jun 11 - 16	29.0	1 bed	5.0	9	Room	Kecamatan Ubud	Indonesia	
Malay villa, Best views in Ubud!	Jun 8 - 13	167.0	1 bed	4.77	119	Hotel room	Ubud	Indonesia	
*Hidden Oasis Bangkok 1 | Near ICONSIAM	Jul 2 - 7	28.0	1 bed	4.86	166	Room	Khlong Ton Sai	Thailand	Khlong San
Directly on the beach-for animal lovers only	Jun 1 - 6	144.0	1 bed	5.0	27	Home	Tambon Bo Put	Thailand	
Maphrao in Kamala, accommodation on the beach	Jun 3 - 10	49.0	1 bed	4.89	37	Place to stay	Kamala	Thailand	
A Divers Home: beachfront room with sunset view	Jun 26 - Jul 2	34.0	1 bed	4.89	98	Room	El Nido	Philippines	
Forest Haven - Otium	May 1 - 6	224.0	1 queen bed	4.85	218	Tiny home	Millersburg		
WANDERLUST TREEHOUSE Book an experience!	May 1 - 6	402.0	1 queen bed	4.99	271	Treehouse	Crane Hill		
Architectural Masterpiece | Best View in Telluride	May 1 - 6	732.0	5 beds	4.97	76	Home	Telluride		
The Triangle: A-Frame Cabin for your city retreat	May 1 - 6	123.0	4 beds	4.91	515	Cabin	West Farmington		
Cozy Louise Cabin - Direct Cuyuna MTB Access/Sauna	May 1 - 6	225.0	2 queen beds	5.0	18	Cabin	Crosby		
A-frame cabin by the bay with kayak!	May 1 - 6	230.0	2 queen beds	4.88	128	Cabin	Hancock		
Peacock Tiny House near Las Vegas	May 1 - 6	155.0	2 beds	4.92	744	Tiny home	Sandy Valley		
Peach Log Cabin/Hot Tub/Romantic/Close to Town!	May 1 - 6	292.0	1 queen bed	4.97	244	Cabin	Fredericksburg		
Guest room available short stays	May 1 - 6	217.0	2 queen beds	5.0	4	Room	New York		
Tiny House Cozy Cabin by Zion, Grand Canyon, Bryce	May 1 - 6	188.0	4 beds	5.0	611	Cabin	Fredonia		
Nature’s Nook- A Modern Treehouse Near Wineries	May 1 - 6	336.0	3 beds	4.94	163	Treehouse	Dahlonega		
Conestoga Wagon on Dude Ranch NEAR LAS VEGAS	May 1 - 6	147.0	1 bed	4.86	196	Farm stay	Sandy Valley		
The Forestry House - A modern luxury treehouse.	May 1 - 6	305.0	1 queen bed	0.0	0	Treehouse	Travelers Rest		
Crystal Peak Lookout 🌲	May 5 - 10	230.0	3 beds	4.88	470	Treehouse	Fernwood		
Heartwood Cabin at Mt. Rainier	May 1 - 6	354.0	3 beds	4.98	246	Cabin	Packwood		
Modern Nashville Home in the Woods	May 5 - 10	278.0	1 king bed	4.99	290	Cabin	Nashville		
The Leaf Treehouse	May 1 - 6	641.0	2 beds	4.99	339	Treehouse	Fredericksburg		
Secluded View! A-Frame Hot Tub and Fire Pit	May 1 - 6	361.0	2 beds	4.95	20	Cabin	Bryson City		
Lakefront A-Frame Cabin on Table Rock Lake	May 1 - 6	129.0	2 beds	4.86	22	Cabin	Branson		
The Cargill-Earl Guesthouse at Erik's Ranch	May 1 - 6	426.0	3 beds	4.88	323	Home	Livingston		
Taos Mesa Studio Earthship	May 1 - 6	194.0	1 queen bed	4.91	781	Home	Taos		
A- Frame Cabin	May 1 - 6	273.0	2 queen beds	5.0	168	Place to stay	Shippensburg		
Diamond Desert Escape	May 3 - 8	384.0	5 beds	4.97	34	Home	Scottsdale		
Calowahcan Cabin *NEW hot tub*	May 1 - 6	213.0	3 queen beds	5.0	401	Cabin	Ronan		
Cozy Bow House Perched in Trees w/ Hot Tub & View	May 1 - 6	244.0	5 beds	4.95	344	Home	Fairlee		
Cherry Blossom Yurt on Lookout Mountain	May 1 - 6	157.0	1 king bed	4.97	666	Yurt	Rising Fawn		
Storybook A-Frame Cabin in the Woods Close to Downtown Boone	May 1 - 6	218.0	2 queen beds	4.99	372	Cabin	Boone		
The Cabin at Maple View - Accepting Reservations	May 1 - 6	123.0	2 beds	4.99	599	Cabin	Urbana		
Romantic Cabin - 9 miles to Glacier National Park	May 1 - 6	171.0	2 beds	4.91	237	Cabin	Martin City		
Enjoy the Heated Pool at a Beautifully Designed Getaway	May 1 - 6	213.0	1 king bed	4.96	853	Home	Austin		
10-Acre Yellowstone Cabin w/Stunning Mtn View	May 1 - 6	222.0	4 beds	4.93	101	Cabin	Livingston		
The Big Blue, 1 BR+Den!	May 1 - 6	597.0	2 beds	4.79	539	Condo	Avalon		
Moab Glamping Luxury Tent for 2	May 1 - 6	254.0	1 queen bed	4.92	279	Tent	Moab		
Villa Loggia! 5min walk to Prvt Beach/pool/SmartTV	May 6 - 11	417.0	6 beds	4.94	34	Home	Destin		
Scenic, Serene Lakefront Cabin — Wood Stove	May 1 - 6	149.0	3 beds	4.99	72	Cabin	Crivitz		
The Stillwater at Stoner Creek Cabins	May 1 - 6	178.0	1 bed	5.0	211	Tiny home	Lakeside		
A little piece of heaven...	May 1 - 6	950.0	4 beds	4.88	180	Home	Half Moon Bay		
Romantic Cabin - 9 miles to Glacier National Park	May 1 - 6	171.0	2 beds	4.91	237	Cabin	Martin City		
Enjoy the Heated Pool at a Beautifully Designed Getaway	May 1 - 6	213.0	1 king bed	4.96	853	Home	Austin		
The Big Blue, 1 BR+Den!	May 1 - 6	597.0	2 beds	4.79	539	Condo	Avalon		
Beautiful pool home near strip	May 1 - 6	252.0	3 beds	5.0	15	Home	Henderson		
Moab Glamping Luxury Tent for 2	May 1 - 6	254.0	1 queen bed	4.92	279	Tent	Moab		
Villa Loggia! 5min walk to Prvt Beach/pool/SmartTV	May 6 - 11	417.0	6 beds	4.94	34	Home	Destin		
The Stillwater at Stoner Creek Cabins	May 1 - 6	178.0	1 bed	5.0	211	Tiny home	Lakeside		
Totally Beachin - Condo with Stunning Ocean Views	May 1 - 6	287.0	6 beds	4.69	75	Condo	Orange Beach		
Moonlit Chalet	May 1 - 6	175.0	2 beds	4.87	173	Cabin	Clyde		
Atlantic Coast Dome Home Across from Sound w/ View	May 19 - 24	244.0	2 beds	4.96	47	Home	Wilmington		
Welcome to our Modern Cape Escape with Heated Pool	May 1 - 6	233.0	5 beds	4.96	28	Home	Cape Coral		
The 'Easy A' Cabin in Rocky Point	May 1 - 6	202.0	3 beds	4.82	82	Vacation home	Klamath Falls		
Luxury One Bedroom Condo with private balcony	May 1 - 6	123.0	3 beds	4.9	106	Condo	Daytona Beach		
"""Swan Ocean"" Beach House on Vilano Beach"	May 1 - 6	955.0	6 beds	4.88	60	Home	St. Augustine		
Coastal Waters 214-2nd floor ocean view condo	May 1 - 6	168.0	2 beds	4.47	43	Condo	New Smyrna Beach		
Lake House Minutes to Downtown Mt. Dora and Eustis	May 1 - 6	173.0	2 beds	4.99	179	Home	Eustis		
Circle J Bed & Breakfast	May 1 - 6	92.0	2 beds	4.97	528	Tiny home	White Pigeon		
Hillside Cripple Creek Cabin w/Hot Tub, Mtn Views!	May 1 - 6	196.0	3 beds	4.93	72	Cabin	Cripple Creek		
Basic Cabin #1 - Sleeps 4 - OK-C1	May 6 - 11	125.0	3 beds	4.86	233	Cabin	Moab		
ONLY 1.5 Miles from the Creation Museum!	May 1 - 6	124.0	4 beds	4.89	170	Home	Petersburg		
Blue Oasis | King Bed | Feel Far, Be Close Dogs ok	May 1 - 6	155.0	2 beds	4.94	258	Home	Twentynine Palms		
Garden Gate Getaway	May 1 - 6	53.0	2 beds	4.88	110	Room	McKinney		
"Taos Skybox ""Stargazer"" High Desert Retreat"	May 1 - 6	184.0	1 bed	4.93	61	Home	El Prado		
"The best in tiny living!
TreehouseTopia"	May 1 - 6	229.0	2 queen beds	4.87	193	Treehouse	Sevierville		
*Unique Pyramid Home for an amazing vacation	May 1 - 6	231.0	1 queen bed	4.93	165	Home	Fort Myers		
Private Modern Guesthouse near Mulholland Drive	May 1 - 6	151.0	2 beds	4.93	555	Cottage	Los Angeles		
Water side Cozy cabin	May 1 - 6	98.0	4 beds	4.91	318	Home	Summertown		
NEW! One-of-a-Kind Luxury Cabin w/Hot Tub	May 1 - 6	358.0	1 queen bed	5.0	49	Cabin	Florissant		
Hilltop cabin retreat with lake & mountain views	May 1 - 6	188.0	5 beds	4.93	551	Guesthouse	Escondido		
Brand New 3 beds at Solara Resort	May 1 - 6	155.0	2 beds	4.83	12	Townhouse	Kissimmee		
New lux cabin w/mount index view	May 1 - 6	276.0	1 bed	4.86	7	Cabin	Gold Bar		
Redwood Treehouse Santa Cruz Mtns.	May 5 - 10	190.0	2 beds	4.89	932	Treehouse	Watsonville		
Mickey Mouse Themed Getaway next to Disney 1	May 1 - 6	115.0	4 beds	4.84	295	Condo	Kissimmee		
Crystal Lake House	May 1 - 6	155.0	4 beds	5.0	9	Home	Ellington		
The Orlando Retreat.	May 1 - 6	230.0	4 beds	4.95	78	Home	Orlando		
The Alpaca (A Lone Juniper Ranch Cabin)	May 1 - 6	124.0	2 queen beds	4.92	381	Farm stay	Lebec		
Cozy Cabin on Sunday River ~	May 1 - 6	202.0	2 beds	4.93	41	Cabin	Newry		
*BRAND NEW* Tiny Village Retreat	May 1 - 6	90.0	2 beds	5.0	86	Tiny home	Greer		
Cliffside Romantic Retreat LOVE	May 1 - 6	321.0	1 king bed	5.0	25	Cabin	Pine Ridge		
Modern Cabin Tiny Retreat	May 1 - 6	90.0	3 beds	4.98	558	Tiny home	Greer		
Peaceful Log Cabin in the Woods	May 3 - 8	122.0	2 double beds	4.99	497	Cabin	Groton		
Cozy Creek Cabin-couples retreat nestled in woods	May 1 - 6	184.0	1 king bed	4.98	208	Cabin	Ellijay		
Cozy Studio close to Universal	May 1 - 6	82.0	2 beds	4.2	148	Apartment	Orlando		
Beaver Bungalow - Long Range Mountain Views	May 1 - 6	163.0	2 beds	4.96	77	Cabin	Blue Ridge		
Sea Squirrel, Beach views in Crystal Beach	May 1 - 6	246.0	1 bed	4.78	9	Condo	Destin		
Out of Bounds: Tiny Cabin amongst acres of trees	May 1 - 6	170.0	2 queen beds	4.95	277	Tiny home	Hillsboro		
Newly remodeled! Condo in Center of All The Action	May 1 - 6	100.0	2 beds	4.49	372	Apartment	Orlando		
Canyon Hideout Bungalow	May 1 - 6	179.0	1 queen bed	5.0	341	Tiny home	Cortez		
Peaceful, authentic, rustic log cabin in the woods	May 4 - 9	132.0	2 beds	4.98	106	Place to stay	Wapwallopen		
Idyllic Cottage Retreat	May 1 - 6	188.0	2 beds	4.86	14	Cottage	Crozet		
Cabin Kisa	May 1 - 6	106.0	1 bed	5.0	7	Cabin	Leicester		
Mountain Dream gorgeous view with hot tub	May 1 - 6	190.0	2 queen beds	4.96	591	Cabin	Robbinsville		
Special Offer Storey Lake 2Bedr 2Bath Free Waterpark BE307	May 1 - 6	134.0	4 beds	4.79	73	Apartment	Kissimmee		
Cabin Kisa	May 1 - 6	106.0	1 bed	5.0	7	Cabin	Leicester		
Mountain Dream gorgeous view with hot tub	May 1 - 6	190.0	2 queen beds	4.96	591	Cabin	Robbinsville		
Special Offer Storey Lake 2Bedr 2Bath Free Waterpark BE307	May 1 - 6	134.0	4 beds	4.79	73	Apartment	Kissimmee		
Creekside Cabin at Shady Grove Farm	May 1 - 6	90.0	2 beds	4.97	476	Cabin	Lancing		
Vegas Villa-Heated Pool, Indoor Jacuzzi, Billiards	May 1 - 6	668.0	9 beds	4.93	27	Villa	Las Vegas		
Modern Retreat with King Bed-Heated Pool-and Grill	May 1 - 6	494.0	6 beds	5.0	33	Villa	Miramar		
Venice Canals Sanctuary	May 1 - 6	374.0	2 beds	4.93	107	Apartment	Santa Monica		
Sugar Bear Hollow	May 1 - 6	219.0	3 beds	4.96	91	Cabin	Sevierville		
Studio B	May 1 - 6	111.0	2 queen beds	4.95	819	Guesthouse	Phoenix		
Rock Reign Ranch	May 1 - 6	132.0	1 queen bed	4.92	12	Tiny home	Desert Hot Springs		
Sedona Sunset Jewel, Amazing Views, Pool	May 1 - 6	209.0	1 king bed	5.0	516	Guest suite	Sedona		
10 mins to Disney-Hot tub-Queen Puffy Lux bed	May 2 - 7	213.0	3 beds	4.82	74	Condo	Kissimmee		
Largest 1 Bed 2 bath in Amelia Surf & Racquet Club	May 1 - 6	306.0	2 beds	0.0	0	Apartment	Fernandina Beach		
300 STEPS TO THE BEACH-BEST 1 BEDROOM DEAL IN TOWN	May 1 - 6	169.0	2 beds	4.68	57	Condo	Panama City Beach		
Private room(s) in a Renovated Manhattan Townhouse	May 1 - 6	259.0	2 beds	4.94	16	Room	New York		
Luxurious brickell apartment 38thfloor ocean view	May 1 - 6	239.0	2 beds	4.69	51	Condo	Miami		
Lakeview Loft-Vintage Chicago, Modern Amenities	May 1 - 6	126.0	3 beds	4.96	343	Loft	Chicago		
JU Super Duper Tiny House, 15 minutes to Disney	May 1 - 6	98.0	3 beds	4.95	400	Cottage	Kissimmee		
Excellent suite to enjoy near Disney.	May 1 - 6	90.0	2 beds	4.71	241	Apartment	Orlando		
300 STEPS TO THE BEACH-BEST 1 BEDROOM DEAL IN TOWN	May 1 - 6	169.0	2 beds	4.68	57	Condo	Panama City Beach		
Private room(s) in a Renovated Manhattan Townhouse	May 1 - 6	259.0	2 beds	4.94	16	Room	New York		
Luxurious brickell apartment 38thfloor ocean view	May 1 - 6	239.0	2 beds	4.69	51	Condo	Miami		
Lakeview Loft-Vintage Chicago, Modern Amenities	May 1 - 6	126.0	3 beds	4.96	343	Loft	Chicago		
JU Super Duper Tiny House, 15 minutes to Disney	May 1 - 6	98.0	4 beds	4.95	400	Cottage	Kissimmee		
On Juniper Lake w/Boat Dock Near 30A!	May 1 - 6	113.0	4 beds	4.79	19	Home	DeFuniak Springs		
Ocean Front Resort - King bed	May 1 - 6	184.0	1 queen bed	4.93	304	Condo	Hilton Head Island		
Cozy riverside/rain forest cabin ~ Bogie Bungalow	May 3 - 8	143.0	2 queen beds	4.96	949	Cabin	Forks		
Ft Walton cozy condo w/ on-site pool. Near beaches	May 1 - 6	145.0	3 beds	4.73	249	Condo	Fort Walton Beach		
Private Bay area home !	May 1 - 6	117.0	3 beds	4.67	3	Apartment	Sarasota		
Altitude Adjustment	May 10 - 15	208.0	4 beds	4.98	161	Cabin	Kanab		
Private Room in Elegant French Gothic Home	May 1 - 6	114.0	2 queen beds	4.87	843	Room	Los Angeles		
Stuart Manor Bed and Breakfast	May 1 - 6	223.0	2 beds	5.0	26	Room	Carlisle		
The Beach Couldn't Be Any Closer!	May 1 - 6	260.0	6 beds	4.9	145	Condo	Pensacola		
Point Richmond Top Floor Studio with Bay views	May 1 - 6	153.0	6 beds	4.95	128	Apartment	Richmond		
Cottage by the Sea	May 1 - 6	138.0	6 beds	4.92	554	Guest suite	Trinidad		
House by the Mouse: Something for Everyone!	May 19 - 24	250.0	6 beds	4.89	157	Home	Kissimmee		
King Suite/Sky Lounge/Luxurious Experience.	May 1 - 6	108.0	2 beds	4.85	55	Apartment	Houston		
Few days left in May	May 1 - 6	286.0	1 king bed	4.98	263	Cabin	Sevierville		
Cozy Private Mountain Cabin on 1,000 acre property	May 1 - 6	186.0	4 beds	4.96	78	Cabin	Fountain Green		
Lovely Private Room-Manhattan, 70s-Upper East Side	May 1 - 6	199.0	1 bed	4.93	30	Room	New York		
1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON	May 1 - 6	229.0	3 beds	4.85	74	Cottage	Islamorada		
Sugar Babe Beach Retreat with Hot Tub!	May 1 - 6	160.0	2 queen beds	4.95	328	Home	Michigan City		
Modern room in boutique hotel near amusement parks	May 1 - 6	64.0	2 beds	4.81	54	Hotel	Kissimmee		
Kayaks adventure, Dock, Pool, WiFi Courtyard view.	May 1 - 6	112.0	2 beds	4.72	94	Condo	Mary Esther		
Historic Venice Apt 1/2 blocks to beach+parking	May 1 - 6	222.0	2 beds	4.94	431	Apartment	Los Angeles		
A charmer!Great spot near downtown.	May 1 - 6	81.0	3 beds	4.97	990	Guesthouse	Greensboro		
Beachfront Apartment	May 1 - 6	170.0	1 queen bed	4.43	23	Apartment	Hallandale Beach		
Beach Front Condo In Casa Del Mar	May 1 - 6	122.0	2 beds	4.72	389	Apartment	Galveston		
The Cooper Cottage | Guesthouse	May 1 - 6	91.0	4 beds	5.0	5	Guesthouse	Carrollton		
Tillie Creek Retreat: a Creekside Oasis	May 1 - 6	145.0	3 beds	4.85	312	Cabin	Wofford Heights		
New* Desert Moon* HeartofPhoenix	May 1 - 6	112.0	3 queen beds	4.78	9	Home	Phoenix		
Private Mackinaw City Beach Cottage ~ Bridge view	May 23 - 28	355.0	1 queen bed	4.91	68	Cottage	Mackinaw City		
Room With The Views	May 1 - 6	127.0	3 beds	4.99	402	Guest suite	Cave Creek		
Venice Getaway	May 1 - 6	159.0	3 beds	5.0	30	Home	Venice		
Reems Creek Mountain Cabin	May 9 - 14	237.0	2 queen beds	5.0	222	Cabin	Weaverville		
Venice Getaway	May 1 - 6	159.0	3 beds	5.0	30	Home	Venice		
Beachfront~Amazing Views~Walkable to Walmart/Shops	May 1 - 7	184.0	4 beds	4.96	26	Condo	Panama City Beach		
Lovely 1 bed condo with pool/wifi free parking	May 1 - 6	149.0	2 beds	4.92	51	Condo	Miami		
The Lost Coast Tower, Petrolia	May 1 - 6	225.0	1 double bed	4.92	214	Cabin	Petrolia		
THE SMALL ENGLISH MANOR NESTLED AMONGST THE TREES	May 1 - 6	276.0	2 beds	4.89	420	Apartment	New York		
Private Loft In the Hollywood Hills (by Universal)	May 1 - 6	132.0	1 queen bed	4.87	981	Guesthouse	Los Angeles		
Location, location, location!	May 1 - 6	260.0	2 beds	5.0	19	Apartment	New York		
Ravinia Bungalow	May 1 - 6	105.0	1 double bed	4.96	701	Guesthouse	Dallas		
Egret ~ Beachfront Cottage (pet-Friendly)	May 4 - 9	248.0	2 beds	4.93	43	Home	Holden Beach		
Storybook Beach Cottage Twin Rocks	May 1 - 6	144.0	4 beds	4.88	259	Cottage	Rockaway Beach		
On the Beach; Siesta Key SunBum Studio	May 6 - 11	379.0	2 beds	4.96	218	Condo	Siesta Key		
Laguna Beach Charming Unit- Location/Value	May 1 - 6	385.0	3 beds	4.96	384	Apartment	Laguna Beach		
Windsor At Westside Avenger Newest PS5 Game room	May 11 - 16	209.0	13 beds	4.92	12	Villa	Kissimmee		
Central House w/ Pool & Hot Tub	May 1 - 6	142.0	2 beds	4.88	140	Home	Tucson		
Direct Ocean View from the Balcony	May 1 - 6	219.0	2 queen beds	4.83	639	Apartment	Fort Lauderdale		
Terlingua Mining Ruin - Lofthouse	May 1 - 6	194.0	1 double bed	4.97	575	Home	Terlingua		
Designer Upper East side apartment Two entrances.	May 1 - 6	242.0	1 queen bed	4.99	84	Apartment	New York		
Waterfront Sea Cottage	May 1 - 6	82.0	1 queen bed	4.8	276	Guesthouse	Naples		
Relaxing Bungalow Steps from the Ocean	May 1 - 6	102.0	2 queen beds	4.86	364	Bungalow	New Smyrna Beach		
Modern Great Villa near Disney & Parks	May 1 - 6	103.0	3 beds	4.87	148	Apartment	Kissimmee		
Cozy Private Cottage 5 miles from Disney!	May 1 - 6	100.0	1 queen bed	4.92	123	Cottage	Kissimmee		
Private Studio+Bath+Balcony, 15 mins to Manhattan	May 1 - 6	144.0	1 sofa bed	4.96	269	Room	Brooklyn		
Large Master Bedroom w Hollywood sign VIEWS	May 1 - 6	133.0	5 beds	4.9	325	Room	Los Angeles		
Echo Park Retreat with Views	May 1 - 6	116.0	4 double beds	4.94	580	Guest suite	Los Angeles		
Beachfront Oasis	May 6 - 11	798.0	3 beds	4.99	111	Home	Huntington Beach		
The Enchanted Cottage at Easy Manor	May 1 - 6	115.0	4 beds	4.96	170	Guesthouse	Colorado Springs		
☀Sunrise Cabin☀ Balcony Mtn Views┃Grill┃Firepit	May 11 - 16	113.0	3 beds	4.98	114	Cabin	Hartsel		
Cactus House - private home with pool in Phoenix	May 1 - 8	277.0	3 beds	4.99	114	Home	Phoenix		
Beautiful Beachfront condo! 2 Bdrm, 2 Bath	May 1 - 6	300.0	1 bed	4.9	104	Condo	Fort Walton Beach		
"""Vacation-Sanctuary / Gateway to Napa """	May 1 - 6	114.0	1 king bed	4.97	887	Room	Fairfield		
Elevation Celebration	May 1 - 6	225.0	3 queen beds	4.97	95	Cabin	Kanab		
Waterfront Studio Apartment with FREE Parking	May 1 - 6	160.0	2 beds	4.63	16	Apartment	North Bay Village		
Betty's Beach Bungalow-Pet Friendly! STR21-1232	May 1 - 6	171.0	2 beds	4.97	478	Home	Dana Point		
Casual Colorful Venice House near Canals,Beach &Abbot Kinney	May 1 - 6	323.0	2 beds	4.95	398	Home	Los Angeles		
Beachfront Penthouse studio w/ pool on Miami Beach	May 1 - 8	181.0	2 beds	4.85	139	Condo	Miami Beach		
Geodesic Earth Dome	May 1 - 6	91.0	2 beds	4.9	953	Dome	El Prado		
7-bedroom vacation home near Disney with pool/spa	May 1 - 6	222.0	10 beds	4.83	174	Home	Kissimmee		
Beautiful 4BR Townhouse/Townhome close to Disney	May 1 - 7	132.0	5 beds	4.83	109	Townhouse	Kissimmee		
Waterfront condo on top floor @ Boca Ciega Resort	May 1 - 6	143.0	2 beds	4.87	360	Condo	Saint Petersburg		
Scenic Gulf view! Steps to private beach entry!	May 1 - 6	305.0	3 beds	5.0	41	Townhouse	Destin		
Amelia Island, 2 bedroom beach front condo	May 1 - 6	327.0	2 beds	4.92	147	Condo	Fernandina Beach		
